,obm_id,location_start,survey_station_code,species,total_no,juvenile,adult,water_type
1575,624,MA15T,MU18039,Barbus petenyi,1,1,0,river
1688,461,MA17T,MU18051,Barbus petenyi,53,45,8,river
1715,476,MA18T,MU18054,Barbus petenyi,17,16,1,river
1636,507,MA21T,MU18045,Barbus petenyi,18,16,2,river
2175,2343,"MAR12KES C (A,B,C,D)",MU19024,Barbus petenyi,5,5,0,river
883,1338,Maros,MU14095,Barbus petenyi,1500,1000,500,river
1668,3058,Maros 14 T,MU18048,Barbus petenyi,11,11,0,river
2016,3047,Maros 16T,MU18079,Barbus petenyi,18,16,2,river
2165,2225,Maros Alsoidecs T (MAR05MAF),MU19023,Barbus petenyi,88,77,11,river
704,1341,Maros Ciobotani,MU14047,Barbus petenyi,2520,1520,1000,river
2535,2139,Maros Deda 2019,MU19053,Barbus petenyi,10,8,2,river
844,1348,Maros Deda folott,MU14093,Barbus petenyi,360,260,100,river
2480,2729,Maros Gurasada alatt T,MU19048,Barbus petenyi,11,11,0,river
2409,2192,Maros Holtmaros T (MAR03HOM),MU19043,Barbus petenyi,99,89,10,river
2302,2262,Maros Kortvelyfaja 2 T (MAR07GER),MU19034,Barbus petenyi,168,160,8,river
2076,2111,Maros Kortvelyfaja T,MU19013,Barbus petenyi,44,38,6,river
2257,2446,Maros Kutyfalva felett cs T (MAR22KUT),MU19030,Barbus petenyi,2,1,1,river
1170,291,Maros Lippa felett T,MU17004,Barbus petenyi,1,1,0,river
2239,2170,Maros Magyaro T (MAR02MAL),MU19028,Barbus petenyi,282,221,61,river
2309,2207,Maros Marosvecs T (MAR04MAV),MU19035,Barbus petenyi,29,19,10,river
2328,2161,Maros Moroszfalu T (MAR01MAL),MU19036,Barbus petenyi,114,84,30,river
668,1353,Maros Neagra,MU14040,Barbus petenyi,1835,1800,35,river
2388,2290,Maros Nyarad beomlesenel TM (MAR09NYT),MU19040,Barbus petenyi,22,18,4,river
2284,2253,Maros Petele T (MAR06PET),MU19033,Barbus petenyi,69,54,15,river
2474,2745,Maros Piski felett T,MU19047,Barbus petenyi,32,32,0,river
885,1358,Maros Ratosnya alatt,MU14100,Barbus petenyi,1600,400,1200,river
753,1363,Maros Szalard,MU14062,Barbus petenyi,570,330,240,river
2365,2277,Maros Szentivany T (MAR08MEP),MU19038,Barbus petenyi,20,17,3,river
2522,2886,Maros Totoi T,MU19051,Barbus petenyi,10,10,0,river
1741,2060,Medgyes alatt T,MU18056,Barbus petenyi,60,53,7,river
1747,2040,Medgyes felett T,MU18057,Barbus petenyi,102,87,15,river
1725,2051,Medgyes varos T,MU18055,Barbus petenyi,80,62,18,river
682,1365,MERMEZEU 1,MU14041,Barbus petenyi,3,3,0,river
2811,1720,Nagy Homorod T,OL18004,Barbus petenyi,36,34,2,river
1755,2991,Nagy Kukullo 2 T,MU18058,Barbus petenyi,70,61,9,river
1294,178,Nagy Kukullo Galambf1T,MU17015,Barbus petenyi,37,29,8,river
1305,195,Nagy Kukullo Galambf3T,MU17016,Barbus petenyi,79,45,34,river
1288,202,Nagy Kukullo Galambf4T,MU17014,Barbus petenyi,84,52,32,river
1282,3259,Nagy-Kukullo gat alatt,MU17013,Barbus petenyi,6,3,3,river
1266,3252,Nagy-Kukullo gat alatt a masodik,MU17011,Barbus petenyi,46,28,18,river
1251,3244,Nagy-Kukullo Ivo beomlesenel,MU17009,Barbus petenyi,67,63,4,river
1320,3265,Nagy-Kukullo kozepso,MU17018,Barbus petenyi,71,62,9,river
2586,4518,NK 1 T,MU21008,Barbus petenyi,20,1,19,river
2589,4512,NK 2 T,MU21009,Barbus petenyi,38,13,25,river
2595,4504,NK 3 T,MU21011,Barbus petenyi,9,2,7,river
2578,4498,NK 4 T,MU21007,Barbus petenyi,1,0,1,river
1963,690,NK10T,MU18074,Barbus petenyi,49,15,34,river
1439,779,NK14T,MU18027,Barbus petenyi,45,37,8,river
1412,764,NK15T,MU18024,Barbus petenyi,45,37,8,river
1974,678,NK16T,MU18075,Barbus petenyi,96,81,15,river
1395,755,NK18T,MU18022,Barbus petenyi,126,109,17,river
1464,744,NK19T,MU18030,Barbus petenyi,19,13,6,river
1340,805,NK1T,MU18011,Barbus petenyi,98,36,62,river
1452,733,NK21T,MU18028,Barbus petenyi,45,38,7,river
1989,655,NK22T,MU18076,Barbus petenyi,111,96,15,river
1481,713,NK25T,MU18031,Barbus petenyi,28,24,4,river
1387,796,NK3T,MU18021,Barbus petenyi,76,7,69,river
2012,669,NK4T,MU18078,Barbus petenyi,142,83,59,river
2003,648,Nk5T,MU18077,Barbus petenyi,58,36,22,river
1956,818,NK6T,MU18073,Barbus petenyi,61,16,45,river
1399,788,NK7T,MU18023,Barbus petenyi,18,14,4,river
1245,121,N-Kukullo Udvarhely alatt,MU17008,Barbus petenyi,253,123,130,river
1274,103,N-Kukullo Udvarhely felett2,MU17012,Barbus petenyi,22,11,11,river
535,1075,Ny1,MU14007,Barbus petenyi,200,150,50,river
527,1084,Ny2,MU14005,Barbus petenyi,260,160,100,river
2089,1095,Ny3,MU14001,Barbus petenyi,80,45,35,river
1032,1255,Nyarad beomles folott,MU14118,Barbus petenyi,85,45,40,river
2346,2304,Nyarad Marosba omlesnel T (NYA10NYT),MU19037,Barbus petenyi,4,1,3,river
1426,702,Nyiko T,MU18025,Barbus petenyi,174,171,3,river
2845,1702,Olt 1 legalso T,OL18006,Barbus petenyi,19,16,3,river
2820,1685,Olt 6 nem vedett T,OL18005,Barbus petenyi,146,86,60,river
2765,1670,Olt 7 Zoltan,OL18001,Barbus petenyi,86,68,18,river
2748,168,Olt Scoreiu 1T/Olt Scoreiu legalso T,OL17004,Barbus petenyi,2,2,0,river
2720,3456,Olt10,OL12003,Barbus petenyi,6,6,0,river
2933,3599,Olt3Fogaras,OL20003,Barbus petenyi,3,3,0,river
2923,3582,Olt4Ticusu T,OL20002,Barbus petenyi,58,52,6,river
2895,3564,Olt5,OL20001,Barbus petenyi,83,82,1,river
4290,3448,Olt5 2012,OL12001,Barbus petenyi,28,23,5,river
2717,3439,Olt8,OL12002,Barbus petenyi,26,16,10,river
392,3665,Ompoly,MU13003,Barbus petenyi,400,350,50,river
3014,4367,Paraul Nou AM CF Olt T,OL21010,Barbus petenyi,36,30,6,river
1334,414,Patak5a T,MU18008,Barbus petenyi,18,18,0,river
2111,2083,Pietris,MU19018,Barbus petenyi,74,74,0,river
809,1374,RATOSNYA GAT ALATT T,MU14082,Barbus petenyi,88,20,68,river
779,1378,RATOSNYA1,MU14066,Barbus petenyi,5,4,1,river
1887,1962,Regen alatt T,MU18067,Barbus petenyi,78,67,11,river
1906,1924,Regen felett T,MU18068,Barbus petenyi,99,72,27,river
1921,1942,Regen varos T,MU18069,Barbus petenyi,108,78,30,river
1435,724,Scroafei 23 T,MU18026,Barbus petenyi,97,92,5,river
1674,3077,Sebes 1 T,MU18049,Barbus petenyi,3,1,2,river
2086,2097,Sebes T,MU19014,Barbus petenyi,17,16,1,river
1772,981,Segesvar alatt T,MU18059,Barbus petenyi,76,69,7,river
1786,967,Segesvar felso T,MU18060,Barbus petenyi,58,41,17,river
1793,957,Segesvar varos T,MU18061,Barbus petenyi,47,38,9,river
3006,4322,Sercaia AN CF OLT T,OL21008,Barbus petenyi,15,11,4,river
2122,2087,Szakal T,MU19020,Barbus petenyi,316,316,0,river
2744,15,Szeben felett,OL17003,Barbus petenyi,67,53,14,river
2733,20,Szeben varos,OL17001,Barbus petenyi,93,62,31,river
3574,1062,Szolokma1,MU14002,Barbus petenyi,200,120,80,river
3727,1066,Szolokma2,MU14006,Barbus petenyi,40,38,2,river
3063,4283,Szorcse T,OL21016,Barbus petenyi,65,35,30,river
553,1017,Szovata,MU14010,Barbus petenyi,120,30,90,river
1073,3605,Sztrigy,MU15002,Barbus petenyi,147,69,78,river
1946,1594,Sztrigy 2 T,MU18071,Barbus petenyi,18,14,4,river
3819,1754,Temes 2 T,TB18006,Barbus petenyi,6,3,3,river
3858,1774,Temes 3 T Lugos alatt,TB18008,Barbus petenyi,1,1,0,river
3853,1737,Temes 4 T,TB18007,Barbus petenyi,36,36,0,river
3771,1655,Temes 5 T,TB18002,Barbus petenyi,50,35,15,river
3946,2818,Temes legfelso T,TB19007,Barbus petenyi,22,8,14,river
3864,3356,Timis aval balastiera,TB19001,Barbus petenyi,135,85,50,river
1230,113,Udvarhely varos,MU17007,Barbus petenyi,207,122,85,river
1930,1978,Vasarhely alatt 2 T,MU18070,Barbus petenyi,35,20,15,river
1839,2010,Vasarhely felett T,MU18065,Barbus petenyi,61,54,7,river
1865,1991,Vasarhely varos T,MU18066,Barbus petenyi,3,2,1,river
900,1249,Vecke patak,MU14103,Barbus petenyi,4,4,0,river
630,1041,Vecke2,MU14020,Barbus petenyi,20,0,20,river
692,1386,ZEBRAC 1,MU14044,Barbus petenyi,60,45,15,river
477,3730,Zsil am captare T,JI20008,Barbus petenyi,172,75,97,river
472,3723,Zsil podul lui Fabian T,JI20006,Barbus petenyi,282,158,124,river
2911,3580,Olt5,OL20001,Barbus petenyi X Barbus barbus,1,0,1,river
4230,3433,Arok 2T,CR19002,Blicca bjoerkna,2,2,0,river
1148,3388,Arok Kereki,CR13004,Blicca bjoerkna,1,0,1,canal
202,2567,Berettyo Paptamasi T,CR18003,Blicca bjoerkna,3,0,3,river
176,2500,Er Keseru T,CR18001,Blicca bjoerkna,10,10,0,river
331,3646,Er5T,CR20002,Blicca bjoerkna,3,3,0,river
318,3543,Er6T,CR20001,Blicca bjoerkna,3,3,0,river
110,342,Feher-Koros csonakbol,CR17008,Blicca bjoerkna,1,0,1,river
4124,3150,Fekete-Koros legalso,CR17003,Blicca bjoerkna,4,NA,NA,river
1131,3409,Kaposztas,CR13002,Blicca bjoerkna,1,1,0,canal
3377,2541,Kraszna Borvely felett T,SO18003,Blicca bjoerkna,4,3,1,river
24,3397,Legelo1,CR13001,Blicca bjoerkna,1,0,1,river
2447,2785,Maros legalso Sejteny T,MU19046,Blicca bjoerkna,2,2,0,river
3959,3831,Regi Bega 1T,TB21001,Blicca bjoerkna,2,2,0,river
3310,76,Szamos Szatmar felett,SO17005,Blicca bjoerkna,2,2,0,river
3065,4295,Szorcse T,OL21016,Blicca bjoerkna,1,1,NA,river
4393,3322,T4 2019 T,TI19005,Blicca bjoerkna,1,1,0,river
3886,2808,"Temes 1 legalso T, 186",TB19003,Blicca bjoerkna,9,4,5,river
3977,3821,Temes Cebza T,TB21002,Blicca bjoerkna,10,10,0,river
4132,380,Toz Garba-Csermo,CR17007,Blicca bjoerkna,1,1,0,river
2031,1791,10 T,MU19003,Carassius carassius,14,12,2,river
4399,3303,Arok uj 2019T,TI19006,Carassius carassius,1,0,1,river
783,1416,GALONYAI TO,MU14067,Carassius carassius,15,15,0,oxbow
2034,1786,Holtag 1 T,MU19005,Carassius carassius,29,29,0,river
4009,4270,HU2 2011,TI11003,Carassius carassius,50,30,20,oxbow
4410,3848,Varm ark popahaz 2021T,TI21003,Carassius carassius,3,1,2,river
2030,1792,10 T,MU19003,Carassius gibelio,60,54,6,river
3083,4317,Agustin T,OL21018,Carassius gibelio,10,6,4,river
1524,557,Aries monit am balastiera,MU18035,Carassius gibelio,3,0,3,river
1538,542,Aries Monit av balastiera,MU18036,Carassius gibelio,4,0,4,river
4229,3425,Arok 2T,CR19002,Carassius gibelio,400,350,50,river
84,3384,Arok Kereki,CR13004,Carassius gibelio,300,290,10,canal
4406,3302,Arok uj 2019T,TI19006,Carassius gibelio,99,1,98,river
3871,2813,Bega legalso belly T,TB19002,Carassius gibelio,4,1,3,river
3915,2885,Bega Temesvar felett,TB19005,Carassius gibelio,1,NA,NA,river
2115,2077,Beica T,MU19019,Carassius gibelio,5,1,4,river
3584,4036,Bekas Keleti Park T,SO21006,Carassius gibelio,1,1,0,river
153,388,Berettyo Markai szoros,CR17014,Carassius gibelio,2,0,2,river
195,2577,Berettyo Paptamasi T,CR18003,Carassius gibelio,4,0,4,river
3808,1618,Caras 1 T,TB18005,Carassius gibelio,2,1,1,river
2040,1802,Csatorna Szentpal T,MU19007,Carassius gibelio,14,0,14,river
2856,2960,Csibin legalso T,OL18007,Carassius gibelio,2,2,0,river
3564,3851,Dara arok T,SO21001,Carassius gibelio,91,52,39,canal
2435,2396,Dello alatt cs T (MAR16MAV),MU19045,Carassius gibelio,3,0,3,river
2212,2381,Dello kovezett part T (MAR15KES),MU19027,Carassius gibelio,10,1,9,river
1652,3090,Egyesult Kukullo 1 T,MU18047,Carassius gibelio,4,4,0,river
208,2486,Er Szalacs T,CR18004,Carassius gibelio,2,2,0,river
336,3643,Er5T,CR20002,Carassius gibelio,16,2,14,river
301,2842,Feher-Koros Kisjeno T,CR19003,Carassius gibelio,9,6,3,river
126,350,Feher-Koros Varsand,CR17010,Carassius gibelio,12,6,6,river
4126,3163,Fekete-Koros Belenyessonkoly,CR17004,Carassius gibelio,10,8,2,river
4,3110,Fekete-Koros Rapa csonakbol legfelso,CR17001,Carassius gibelio,1,NA,NA,river
3696,3132,Fekete-Koros Tenke (Zingel z),CR17002,Carassius gibelio,2,2,0,river
2782,2973,Feketeugy felso Cofalva T,OL18002,Carassius gibelio,2,0,2,river
4134,320,F-Koros Borosjeno alatt,CR17006,Carassius gibelio,1,0,1,river
3596,4028,Fuzes also T,SO21007,Carassius gibelio,12,0,12,river
4283,1573,GALFALVA HALASTO,MU14115,Carassius gibelio,15,0,15,river
945,1239,Holt meder Erdoszentgyorgy,MU14109,Carassius gibelio,2,1,1,river
2035,1787,Holtag 1 T,MU19005,Carassius gibelio,153,153,0,river
2028,1781,Holtag 1 Ta,MU19002,Carassius gibelio,95,91,4,river
2026,1783,Holtag 3 T,MU19001,Carassius gibelio,13,8,5,river
2033,1784,Holtag 4 T,MU19004,Carassius gibelio,22,19,3,river
2038,1790,Holtag halaszhely B T,MU19006,Carassius gibelio,2,2,0,river
2045,1809,Holtag Kavicsk Vhely alatt T,MU19008,Carassius gibelio,5,2,3,lake
2060,1793,Holtag Kutyfalva A T,MU19011,Carassius gibelio,82,81,1,oxbow
2094,2069,Holtag Petele T,MU19015,Carassius gibelio,123,88,35,oxbow
2051,1806,HoltagSzentmargita T,MU19009,Carassius gibelio,15,15,0,oxbow
3183,3517,Holt-Szamos1,SO14001,Carassius gibelio,130,90,40,oxbow
3193,3526,Holt-Szamos2,SO14002,Carassius gibelio,200,80,120,oxbow
3575,3864,Kaplony csatornaT,SO21004,Carassius gibelio,47,47,0,canal
72,3404,Kaposztas,CR13002,Carassius gibelio,500,495,5,canal
3607,4054,Keleti Park 4-es to T,SO21008,Carassius gibelio,5,1,4,lake
3613,4045,Keleti Park 5-os To T,SO21009,Carassius gibelio,26,1,25,lake
1122,3375,Keskeny Er,CR13003,Carassius gibelio,60,60,0,river
3225,3486,Kis-Szamos ismetles1,SO14005,Carassius gibelio,2,2,0,river
3218,3499,Kis-Szamos Szilagyto2,SO14004,Carassius gibelio,2,2,0,river
3451,1915,Kolozsvar felett T,SO18010,Carassius gibelio,1,0,1,river
3374,2545,Kraszna Borvely felett T,SO18003,Carassius gibelio,1,1,0,river
2056,1795,Kutyfalva holtag B T,MU19010,Carassius gibelio,64,47,17,oxbow
3654,4018,Lapos legalso T,SO21017,Carassius gibelio,6,2,4,river
3705,3931,Lapos Szakallasfalva T,SO21025,Carassius gibelio,2,0,2,river
22,3395,Legelo1,CR13001,Carassius gibelio,100,40,60,river
2395,2419,Lekence csonak T (MAR19RAD),MU19041,Carassius gibelio,2,2,0,river
2978,4347,LL58-04 T,OL21006,Carassius gibelio,3,1,2,oxbow
2967,4396,LM 95 -02 T,OL21003,Carassius gibelio,100,NA,NA,lake
1610,647,MA 22 Enyed p T,MU18043,Carassius gibelio,2,0,2,river
1354,429,MA02T,MU18014,Carassius gibelio,74,50,24,lake
1368,424,MA03T,MU18018,Carassius gibelio,2,2,0,lake
1374,449,Ma05T,MU18020,Carassius gibelio,2,0,2,river
1509,528,MA06T,MU18033,Carassius gibelio,11,0,11,river
1550,608,MA11T,MU18037,Carassius gibelio,1,0,1,river
1582,621,MA14T,MU18040,Carassius gibelio,1,0,1,river
1632,514,MA21T,MU18045,Carassius gibelio,4,0,4,river
347,3651,Malomer2T,CR20004,Carassius gibelio,1,1,0,river
2141,2468,MAR24KUT,MU19022,Carassius gibelio,308,173,135,river
1667,3065,Maros 14 T,MU18048,Carassius gibelio,4,0,4,river
2156,2241,Maros Alsoidecs T (MAR05MAF),MU19023,Carassius gibelio,2,0,2,river
1077,223,Maros Arad alatt T,MU16001,Carassius gibelio,1,0,1,river
1151,269,Maros Arad felett,MU17003,Carassius gibelio,1,0,1,river
2499,2767,Maros Batta (alatt) T,MU19049,Carassius gibelio,12,2,10,river
2202,2372,Maros Dello felett cs T (MAR14KES),MU19026,Carassius gibelio,1,0,1,river
2488,2741,Maros Gurasada alatt T,MU19048,Carassius gibelio,1,0,1,river
2243,2330,Maros komp alatt (MAR11NYT),MU19029,Carassius gibelio,3,2,1,river
2303,2274,Maros Kortvelyfaja 2 T (MAR07GER),MU19034,Carassius gibelio,2,0,2,river
2072,2122,Maros Kortvelyfaja T,MU19013,Carassius gibelio,8,0,8,river
2267,2443,Maros kovezett cs T (MAR21KUT),MU19031,Carassius gibelio,4,0,4,river
2254,2455,Maros Kutyfalva felett cs T (MAR22KUT),MU19030,Carassius gibelio,2,2,0,river
2450,2783,Maros legalso Sejteny T,MU19046,Carassius gibelio,5,0,5,river
2232,2187,Maros Magyaro T (MAR02MAL),MU19028,Carassius gibelio,9,6,3,river
2312,2221,Maros Marosvecs T (MAR04MAV),MU19035,Carassius gibelio,1,0,1,river
2394,2302,Maros Nyarad beomlesenel TM (MAR09NYT),MU19040,Carassius gibelio,38,38,0,river
2132,2407,Maros Oarba felett cs T (MAR17MAV),MU19021,Carassius gibelio,1,0,1,river
1102,236,Maros Pecska T,MU17001,Carassius gibelio,2,1,1,river
2475,2757,Maros Piski felett T,MU19047,Carassius gibelio,8,1,7,river
2366,2433,Maros radnoti eromu alatt cs T (MAR20KUT),MU19039,Carassius gibelio,21,1,20,river
483,4215,Maros Szenete 2009,MU09001,Carassius gibelio,1,NA,NA,river
2195,2360,Maros Szentmargita cs T,MU19025,Carassius gibelio,2,0,2,river
2521,2894,Maros Totoi T,MU19051,Carassius gibelio,15,3,12,river
2428,2337,Maros Vidratszeg kece T (MAR11NYT_K),MU19044,Carassius gibelio,1,1,0,river
2061,2154,Mezokovesdi T,MU19012,Carassius gibelio,8,0,8,river
3369,3200,Nadas szamosba omles felett,SO18002,Carassius gibelio,4,0,4,river
2802,1730,Nagy Homorod T,OL18004,Carassius gibelio,7,0,7,river
1762,2999,Nagy Kukullo 2 T,MU18058,Carassius gibelio,2,1,1,river
3483,2594,Nagy-Szamos Arpasto T,SO19004,Carassius gibelio,7,0,7,river
2647,2723,Nera1 also T,NC19003,Carassius gibelio,3,0,3,river
1458,774,NK20T,MU18029,Carassius gibelio,320,150,170,lake
1454,742,NK21T,MU18028,Carassius gibelio,4,3,1,river
1991,665,NK22T,MU18076,Carassius gibelio,1,0,1,river
1351,817,NK4HT,MU18013,Carassius gibelio,15,10,5,oxbow
1035,1264,Nyarad beomles folott,MU14118,Carassius gibelio,2,0,2,river
2345,2317,Nyarad Marosba omlesnel T (NYA10NYT),MU19037,Carassius gibelio,7,7,0,river
1423,708,Nyiko T,MU18025,Carassius gibelio,1,1,0,river
2840,1710,Olt 1 legalso T,OL18006,Carassius gibelio,1,0,1,river
2822,1695,Olt 6 nem vedett T,OL18005,Carassius gibelio,12,0,12,river
2751,171,Olt Scoreiu 1T/Olt Scoreiu legalso T,OL17004,Carassius gibelio,6,5,1,river
2893,3573,Olt5,OL20001,Carassius gibelio,10,10,0,river
3016,4372,Paraul Nou AM CF Olt T,OL21010,Carassius gibelio,3,0,3,river
4248,4530,Pece to T,CR15002,Carassius gibelio,130,70,60,lake
4215,4527,Pece0T,CR15001,Carassius gibelio,1,NA,1,river
354,3662,Pocos to Nagy Barna T,CR20005,Carassius gibelio,21,0,21,lake
1892,1936,Regen felett T,MU18068,Carassius gibelio,7,1,6,river
1916,1957,Regen varos T,MU18069,Carassius gibelio,6,0,6,river
3956,3832,Regi Bega 1T,TB21001,Carassius gibelio,2,0,2,river
3572,3857,Regi Homorod 1T,SO21003,Carassius gibelio,33,9,24,river
3577,3861,Regi Homorod 2T,SO21005,Carassius gibelio,4,0,4,river
3420,905,Sajó Arokalja T,SO18007,Carassius gibelio,1,1,0,river
3167,4237,Sajo Sajoudvarhely mellett 2010,SO10001,Carassius gibelio,1,NA,NA,river
4188,2561,Sebes Koros Varad alatt T,CR18002,Carassius gibelio,13,4,9,river
1777,975,Segesvar felso T,MU18060,Carassius gibelio,2,1,1,river
2124,2093,Szakal T,MU19020,Carassius gibelio,64,43,21,river
3527,2652,Szamos Cikoi-szoros T,SO19007,Carassius gibelio,6,0,6,river
3316,85,Szamos Szatmar felett,SO17005,Carassius gibelio,1,0,1,river
3067,4288,Szorcse T,OL21016,Carassius gibelio,1,NA,1,river
382,3631,T12 2019T,TI19007,Carassius gibelio,1,0,1,river
4338,3335,T17 2019T,TI19001,Carassius gibelio,3,0,3,river
1950,1583,Tavacska Sztrigy T,MU18072,Carassius gibelio,9,3,6,river
3889,2803,"Temes 1 legalso T, 186",TB19003,Carassius gibelio,7,7,0,river
4368,3283,Tur legfelso 2019 T,TI19003,Carassius gibelio,15,2,13,river
281,3417,Umbra krameri (Poc T),CR19001,Carassius gibelio,225,195,30,canal
4413,3847,Varm ark popahaz 2021T,TI21003,Carassius gibelio,2,0,2,river
1932,1989,Vasarhely alatt 2 T,MU18070,Carassius gibelio,2,0,2,river
4318,3219,VR1T Nehezf,TI18009,Carassius gibelio,20,0,20,river
3665,4084,Zilah pataka Goroszlo T,SO21019,Carassius gibelio,1,1,0,river
1313,188,   Nagy Kukullo Galambf2T,MU17017,Chondrostoma nasus,28,15,13,river
4378,3292,1 Bef 4T 2019,TI19004,Chondrostoma nasus,21,16,5,river
4292,3230,1Bef10T nehezf,TI18008,Chondrostoma nasus,22,16,6,river
595,1271,Also Nyarad2,MU14016,Chondrostoma nasus,1,1,0,river
597,1280,Also Nyarad3,MU14017,Chondrostoma nasus,17,3,14,river
613,1111,Also Nyarad4,MU14018,Chondrostoma nasus,43,20,23,river
1523,551,Aries monit am balastiera,MU18035,Chondrostoma nasus,60,56,4,river
1540,537,Aries Monit av balastiera,MU18036,Chondrostoma nasus,67,54,13,river
2563,4160,Ariesul Mare5T,MU21005,Chondrostoma nasus,49,NA,49,river
4065,3006,Baratka,CR16003,Chondrostoma nasus,25,0,25,river
3927,2868,Barzava also T,TB19006,Chondrostoma nasus,1,1,0,river
3745,1645,Bega 3 T,TB18001,Chondrostoma nasus,21,18,3,river
3782,1628,Bega 4 T,TB18003,Chondrostoma nasus,8,7,1,river
226,1882,Belenyes alatt T,CR18006,Chondrostoma nasus,207,57,150,river
249,1892,Belenyes felett T,CR18008,Chondrostoma nasus,25,5,20,river
234,1865,Belenyes telepules T,CR18007,Chondrostoma nasus,67,17,50,river
4162,386,Berettyo Markai szoros,CR17014,Chondrostoma nasus,125,41,84,river
4189,2566,Berettyo Paptamasi T,CR18003,Chondrostoma nasus,1,0,1,river
136,404,Berettyo Poklos,CR17013,Chondrostoma nasus,6,2,4,river
357,3910,Bistra am Chiribis T,CR21001,Chondrostoma nasus,1,1,0,river
3810,1612,Caras 1 T,TB18005,Chondrostoma nasus,8,8,0,river
3906,2853,Caras 2T,TB19004,Chondrostoma nasus,31,11,20,river
2687,3800,Cerna Toplet T,NC21002,Chondrostoma nasus,3,2,1,river
2434,2393,Dello alatt cs T (MAR16MAV),MU19045,Chondrostoma nasus,7,0,7,river
2211,2379,Dello kovezett part T (MAR15KES),MU19027,Chondrostoma nasus,1,1,0,river
1824,2034,Dicso felett T,MU18064,Chondrostoma nasus,2,1,1,river
1655,3085,Egyesult Kukullo 1 T,MU18047,Chondrostoma nasus,5,1,4,river
79,332,Feher-Koros Barza,CR17005,Chondrostoma nasus,40,31,9,river
411,3891,Feher-Koros Cintei T,CR21005,Chondrostoma nasus,4,1,3,river
292,2837,Feher-Koros Kisjeno T,CR19003,Chondrostoma nasus,60,53,7,river
67,3167,Fekete-Koros Belenyessonkoly,CR17004,Chondrostoma nasus,101,81,20,river
49,3146,Fekete-Koros legalso,CR17003,Chondrostoma nasus,1,0,1,river
393,3875,Fekete-Koros masodik T,CR21004,Chondrostoma nasus,82,69,13,river
4117,3106,Fekete-Koros Rapa csonakbol legfelso,CR17001,Chondrostoma nasus,14,NA,NA,river
3514,3126,Fekete-Koros Tenke (Zingel z),CR17002,Chondrostoma nasus,39,NA,NA,river
2788,2988,Feketeugy also T,OL18003,Chondrostoma nasus,6,6,0,river
98,318,F-Koros Borosjeno alatt,CR17006,Chondrostoma nasus,42,42,0,river
584,1124,Geges1,MU14015,Chondrostoma nasus,1,1,0,river
376,3904,Gyepes T,CR21002,Chondrostoma nasus,2,0,2,river
948,1238,Holt meder Erdoszentgyorgy,MU14109,Chondrostoma nasus,1,1,0,river
2876,2933,Hortobagy also T,OL18008,Chondrostoma nasus,10,4,6,river
2879,2946,Hortobagy felso T,OL18009,Chondrostoma nasus,6,6,0,river
1645,3071,Kis-Kukullo 1T,MU18046,Chondrostoma nasus,1,1,0,river
3214,3496,Kis-Szamos Szilagyto2,SO14004,Chondrostoma nasus,3,3,0,river
546,1033,korispatak2,MU14009,Chondrostoma nasus,1,0,1,river
3405,2527,Kraszna Kiralydaroc T,SO18006,Chondrostoma nasus,1,0,1,river
979,1132,Kukullo also,MU14112,Chondrostoma nasus,110,10,100,river
954,1186,Kukullo Balavasar,MU14110,Chondrostoma nasus,40,0,40,river
914,1244,Kukullo Gyulakuta,MU14105,Chondrostoma nasus,23,0,23,river
942,1230,Kukullo Harmasfalu alatt,MU14108,Chondrostoma nasus,160,10,150,river
906,1154,Kukullo Hederfaja,MU14104,Chondrostoma nasus,7,0,7,river
933,1222,Kukullo Makfalva folott,MU14107,Chondrostoma nasus,65,0,65,river
999,1144,Kukullo Mikafalva,MU14114,Chondrostoma nasus,4,1,3,river
926,1214,Kukullo Sovarad alatt,MU14106,Chondrostoma nasus,90,5,85,river
1016,1205,Kukullo Szovata folott,MU14117,Chondrostoma nasus,2,1,1,river
966,1164,Kukulloszeplak,MU14111,Chondrostoma nasus,9,4,5,river
3651,4013,Lapos legalso T,SO21017,Chondrostoma nasus,1,1,0,river
3717,3925,Lapos Szakallasfalva T,SO21025,Chondrostoma nasus,30,7,23,river
1609,642,MA 22 Enyed p T,MU18043,Chondrostoma nasus,2,2,0,river
1372,445,Ma05T,MU18020,Chondrostoma nasus,54,19,35,river
1508,524,MA06T,MU18033,Chondrostoma nasus,4,3,1,river
1493,586,MA08T,MU18032,Chondrostoma nasus,67,60,7,river
1589,572,MA09T,MU18041,Chondrostoma nasus,58,58,0,river
1555,605,MA11T,MU18037,Chondrostoma nasus,6,6,0,river
1705,492,MA13T,MU18053,Chondrostoma nasus,37,19,18,river
1577,617,MA14T,MU18040,Chondrostoma nasus,6,1,5,river
1681,465,MA17T,MU18051,Chondrostoma nasus,30,22,8,river
1709,479,MA18T,MU18054,Chondrostoma nasus,81,80,1,river
1622,502,MA19T,MU18044,Chondrostoma nasus,10,10,0,river
1629,511,MA21T,MU18045,Chondrostoma nasus,8,7,1,river
1605,633,MA23T,MU18042,Chondrostoma nasus,22,22,0,river
2177,2348,"MAR12KES C (A,B,C,D)",MU19024,Chondrostoma nasus,22,0,22,river
857,1470,Maros,MU14095,Chondrostoma nasus,35,5,30,river
2019,3051,Maros 16T,MU18079,Chondrostoma nasus,2,2,0,river
